year,precip.x,min_T.y,temp_cc,yield_anom,yield_wheat,yield_barley,mean
1989,15.26,2.713888889,4.713888889,1.108406904,1.011084069,1.435739378,12.71388889
1990,0,3.147777778,5.147777778,0.080885099,1.000808851,1.421148568,13.14777778
1991,235.851,5.908888889,7.908888889,239.0641193,3.390641193,4.814710494,15.90888889
1992,103.676,8.236111111,10.23611111,45.86394547,1.458639455,2.071268026,18.23611111
1993,211.75,8.157222222,10.15722222,192.4567323,2.924567323,4.152885599,18.15722222
1994,72.671,5.041111111,7.041111111,22.65494724,1.226549472,1.741700251,15.04111111
1995,310.105,9.813888889,11.81388889,412.9707564,5.129707564,7.284184741,19.81388889
1996,62.29,5.83,7.83,16.56471869,1.165647187,1.655219005,15.83
1997,0,6.895,8.895,-0.217381715,0.997826183,1.41691318,16.895
1998,77.411,8.315,10.315,25.40342913,1.254034291,1.780728694,18.315
1999,0,4.686111111,6.686111111,-0.025930443,0.999740696,1.419631788,14.68611111
2000,108.424,9.735,11.735,50.0202922,1.500202922,2.130288149,19.735
2001,247.788,5.908888889,7.908888889,263.8888739,3.638888739,5.167222009,15.90888889
2002,11.29,4.686111111,6.686111111,0.522165187,1.005221652,1.427414746,14.68611111
2003,131.064,6.697777778,8.697777778,73.66595719,1.736659572,2.466056592,16.69777778
2004,13.208,4.765,6.765,0.7181454,1.007181454,1.430197665,14.765
2005,110.49,6.697777778,8.697777778,52.29610961,1.522961096,2.162604756,16.69777778
2006,122.936,5.475,7.475,64.89786554,1.648978655,2.341549691,15.475
2007,7.874,6.697777778,8.697777778,0.068136644,1.000681366,1.42096754,16.69777778
2008,0,6.260438889,8.260438889,-0.157786896,0.998422131,1.417759426,16.26043889
2009,25.908,5.47155,7.47155,2.797401272,1.027974013,1.459723098,15.47155
2010,21.336,7.443772222,9.443772222,1.685560234,1.016855602,1.443934955,17.44377222
