"","OBJECTID","SiteName","Earliest","Latest","mean","max","min","sd"
"1","1","Konjevrate","Early Neolithic","Middle Neolithic",0.348282771451133,0.368146240711212,0.3268923163414,0.0140718225332222
"2","3","Cista Mala – Velištak","Late Neolithic","Late Neolithic",0.263467632234097,0.301390945911407,0.206002235412598,0.0293054868288421
"3","4","Krivace","Early Neolithic","Late Neolithic",0.290593521935599,0.343902856111526,0.259470522403717,0.0254469999799142
"4","8","Islam Grcki","Early Neolithic","Late Neolithic",0.304331941264016,0.324721395969391,0.272939652204514,0.0136545051130178
"5","9","Smilcic","Early Neolithic","Late Neolithic",0.366671645215579,0.41373336315155,0.314271003007889,0.0289558734204843
"6","12","Benkovac-Barice","Early Neolithic","Early Neolithic",0.363176703453064,0.409553825855255,0.291929066181183,0.0390498634486801
"7","15","Vrcelja","Early Neolithic cal BC 5540-5460 (cal 7490-7410 BP)","Early Neolithic",0.402118555704753,0.460645020008087,0.331809371709824,0.0340458640597627
"8","20","Tinj","Early Neolithic","Middle Neolithic",0.37915512919426,0.425888925790787,0.342228055000305,0.0268234070332912
"9","21","Sikovo-Koinka","Early Neolithic","Middle Neolithic",0.307053591523852,0.346095830202103,0.243344217538834,0.0271642205400456
"10","23","Nin","Early Neolithic","Late Neolithic",0.242214626073837,0.24875645339489,0.240153938531876,0.00368137006149278
"11","26","Vaganacka Pecina","Early Neolithic","Copper Age",0.293326437473297,0.328249752521515,0.275225818157196,0.0174430074631939
"12","29","Crno Vrilo","Early Neolithic","Early Neolithic",0.339755300964628,0.366277188062668,0.301976263523102,0.0143350033179868
"13","31","Danilo Bitinj","Middle Neolithic","Middle Neolithic",0.286301066478093,0.302190065383911,0.263250917196274,0.0180405646949408
"14","32","Pokrovnik","Early Neolithic","Middle Neolithic",0.344475256545203,0.390673577785492,0.298676252365112,0.0234522049681522
"15","0","Knin",NA,NA,0.298995465040207,0.311808913946152,0.288614064455032,0.00908930209012273
"16","0","Rasinovac","Early Neolithic","Early Neolithic",0.28563659212419,0.316768169403076,0.241693362593651,0.0204938677692451
