year,yield_wheat,yield_barley
1989,1.011084069,1.435739378
1990,1.000808851,1.421148568
1991,3.390641193,4.814710494
1992,1.458639455,2.071268026
1993,2.924567323,4.152885599
1994,1.226549472,1.741700251
1995,5.129707564,7.284184741
1996,1.165647187,1.655219005
1997,0.997826183,1.41691318
1998,1.254034291,1.780728694
1999,0.999740696,1.419631788
2000,1.500202922,2.130288149
2001,3.638888739,5.167222009
2002,1.005221652,1.427414746
2003,1.736659572,2.466056592
2004,1.007181454,1.430197665
2005,1.522961096,2.162604756
2006,1.648978655,2.341549691
2007,1.000681366,1.42096754
2008,0.998422131,1.417759426
2009,1.027974013,1.459723098
2010,1.016855602,1.443934955
